Track,Track Version,Test Case,Matcher,Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN","# of Correspondences",Time,Time (HH:MM:SS)
archaeology,2024all,de-fr,logmap-melt-oaei-2021-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,de-fr,logmap-melt-oaei-2021-web-latest.tar.gz,INSTANCES,0.4,0.11764705882352941,0.11764705882352941,0.1818181818181818,2,3,15,5,-,-
archaeology,2024all,it-it,logmap-melt-oaei-2021-web-latest.tar.gz,ALL,0.16666666666666666,0.75,0.75,0.27272727272727276,3,15,1,18,915388778,00:00:00
archaeology,2024all,it-it,logmap-melt-oaei-2021-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,it-it,logmap-melt-oaei-2021-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,it-it,logmap-melt-oaei-2021-web-latest.tar.gz,INSTANCES,0.16666666666666666,0.75,0.75,0.27272727272727276,3,15,1,18,-,-
archaeology,2024all,en-en,logmap-melt-oaei-2021-web-latest.tar.gz,ALL,0.26666666666666666,0.6666666666666666,0.6666666666666666,0.3809523809523809,4,11,2,15,944006156,00:00:00
archaeology,2024all,en-en,logmap-melt-oaei-2021-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,en-en,logmap-melt-oaei-2021-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,en-en,logmap-melt-oaei-2021-web-latest.tar.gz,INSTANCES,0.26666666666666666,0.6666666666666666,0.6666666666666666,0.3809523809523809,4,11,2,15,-,-
archaeology,2024all,fr-fr,logmap-melt-oaei-2021-web-latest.tar.gz,ALL,0.09090909090909091,0.25,0.25,0.13333333333333333,1,10,3,11,749261849,00:00:00
archaeology,2024all,fr-fr,logmap-melt-oaei-2021-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,fr-fr,logmap-melt-oaei-2021-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,fr-fr,logmap-melt-oaei-2021-web-latest.tar.gz,INSTANCES,0.09090909090909091,0.25,0.25,0.13333333333333333,1,10,3,11,-,-
archaeology,2024all,en-it,logmap-melt-oaei-2021-web-latest.tar.gz,ALL,0.5,0.16666666666666666,0.16666666666666666,0.25,1,1,5,2,774455685,00:00:00
archaeology,2024all,en-it,logmap-melt-oaei-2021-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,en-it,logmap-melt-oaei-2021-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,en-it,logmap-melt-oaei-2021-web-latest.tar.gz,INSTANCES,0.5,0.16666666666666666,0.16666666666666666,0.25,1,1,5,2,-,-
